goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	221	7	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.20179813162885438	34.68813087365124	3.131790382582267e-10	2.5898430844328857e-6
GO:0002224	toll-like receptor signaling pathway	124	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.11322610100442508	52.99131513647643	6.309376354707297e-10	2.5898430844328857e-6
GO:0051091	positive regulation of DNA-binding transcription factor activity	248	7	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.22645220200885016	30.911600496277917	7.021070391743933e-10	2.5898430844328857e-6
GO:0007249	I-kappaB kinase/NF-kappaB signaling	251	7	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.22919154316218304	30.542139135764636	7.636906662611409e-10	2.5898430844328857e-6
GO:0070498	interleukin-1-mediated signaling pathway	54	5	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.04930814075999157	101.4031339031339	8.166245457630339e-10	2.5898430844328857e-6
GO:0051092	positive regulation of NF-kappaB transcription factor activity	144	6	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.1314883753599775	45.63141025641026	1.5611600900911071e-9	4.125885924762448e-6
GO:0002221	pattern recognition receptor signaling pathway	164	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.14975064971552995	40.06660412757974	3.4221303568671146e-9	7.752103009834549e-6
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	176	6	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.16070801432886142	37.33479020979021	5.234328082082129e-9	1.037509254969704e-5
GO:0002758	innate immune response-activating signal transduction	209	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.1908407670155229	31.43982333456018	1.4672972725726652e-8	2.369297110504931e-5
GO:0051090	regulation of DNA-binding transcription factor activity	385	7	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.35154878134438433	19.911888111888114	1.4941647918931267e-8	2.369297110504931e-5
GO:0002218	activation of innate immune response	229	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.20910304137107535	28.693987235471955	2.5334819797606656e-8	3.652129432096807e-5
GO:0071347	cellular response to interleukin-1	119	5	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.10866053241553697	46.014867485455724	4.574074874419409e-8	5.9928165923757325e-5
GO:0045087	innate immune response	734	8	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;MAP3K7|0;TRIM25|0;IKBKG|0	0.6702254688487743	11.936281701949277	4.913074080903357e-8	5.9928165923757325e-5
GO:0045089	positive regulation of innate immune response	282	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.2574980684132893	23.30114566284779	8.745600643678131e-8	9.905642100486008e-5
GO:0070555	response to interleukin-1	141	5	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.12874903420664466	38.835242771412986	1.0714980946957553e-7	1.1327163525060396e-4
GO:0045088	regulation of innate immune response	337	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.30771932289105847	19.498288062086285	2.509888974433494e-7	2.4874568417244947e-4
GO:1902533	positive regulation of intracellular signal transduction	979	8	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	0.8939383297042915	8.949163196354208	4.5837618634081423e-7	4.275571286356642e-4
GO:0031349	positive regulation of defense response	387	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.35337500877993955	16.979129397734052	5.666735667375633e-7	4.992079304309746e-4
GO:0009967	positive regulation of signal transduction	1463	9	ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.3358853691086605	6.737105000262895	6.078264550568591e-7	5.072791630440323e-4
GO:0002757	immune response-activating signal transduction	417	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.38076842031326824	15.757609297177643	8.78001131354722e-7	6.961231969945914e-4
GO:0002764	immune response-regulating signaling pathway	446	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.40724871812881924	14.733011383235599	1.301008988097152e-6	9.747742089670194e-4
GO:0010647	positive regulation of cell communication	1608	9	ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.4682868581864157	6.129592422502871	1.3694560437871317e-6	9.747742089670194e-4
GO:0023056	positive regulation of signaling	1614	9	ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.4737655404930814	6.106805833571633	1.4138744280911553e-6	9.747742089670194e-4
GO:0051707	response to other organism	797	7	IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;TRIM25|0;IKBKG|0;SASH1|1	0.7277516330687644	9.61866615191584	2.140211234014089e-6	0.0013805439292743314
GO:0043207	response to external biotic stimulus	799	7	IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;TRIM25|0;IKBKG|0;SASH1|1	0.7295778605043197	9.594589390584385	2.176552830412959e-6	0.0013805439292743314
GO:0002253	activation of immune response	492	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.44925194914658984	13.355534709193247	2.3057090552391912e-6	0.001406216480343379
GO:0051403	stress-activated MAPK cascade	266	5	IKBKB|0;IRAK1|0;MAP3K7|0;IKBKG|0;SASH1|1	0.24288824892884736	20.585598611914403	2.496582835354033e-6	0.0014662338526003297
GO:0009607	response to biotic stimulus	820	7	IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;TRIM25|0;IKBKG|0;SASH1|1	0.7487532485776497	9.348874296435273	2.590646860478607e-6	0.001467138830950331
GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	32	3	IRAK1|0;MAP3K7|0;IKBKG|0	0.029219638968883892	102.67067307692308	2.9053279904101004e-6	0.0015886133084114813
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	33	3	IRAK1|0;MAP3K7|0;IKBKG|0	0.030132752686661515	99.55944055944056	3.1941758438236434e-6	0.0016883348785170507
GO:0060255	regulation of macromolecule metabolic process	5411	13	RUNX3|0;ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;RPS18|1;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1;SUV39H2|0	4.940858326894711	2.6311217889484384	3.422019481336136e-6	0.0017350742115885553
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	34	3	IRAK1|0;MYD88|0;MAP3K7|0	0.031045866404439137	96.63122171945702	3.5014425661117343e-6	0.0017350742115885553
GO:0031098	stress-activated protein kinase signaling cascade	291	5	IKBKB|0;IRAK1|0;MAP3K7|0;IKBKG|0;SASH1|1	0.2657160918732879	18.817076394395986	3.878539571289252e-6	0.0018636970297555657
GO:0002684	positive regulation of immune system process	894	7	RUNX3|0;ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.8163236636931938	8.575030115298572	4.6189713196476134e-6	0.002154206712225065
GO:0006952	defense response	1356	8	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;MAP3K7|0;TRIM25|0;IKBKG|0	1.238182201306455	6.461084638075789	5.5156761767927165e-6	0.0024989164895829175
GO:0006950	response to stress	3399	11	ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1;SUV39H2|0	3.103673526726136	3.544187204381379	6.765450591084132e-6	0.0029799930561894747
GO:0019222	regulation of metabolic process	5854	13	RUNX3|0;ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;RPS18|1;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1;SUV39H2|0	5.345367703870197	2.4320122992825417	9.52871479875661e-6	0.004083698123348204
GO:0048584	positive regulation of response to stimulus	2027	9	ESR1|0;SFN|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.850881505935239	4.8625479108952225	9.815425349168905e-6	0.0040958736779413505
GO:0031347	regulation of defense response	642	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.5862190068132331	10.235082674335011	1.0740814379239794e-5	0.004367104964400139
GO:0050778	positive regulation of immune response	648	6	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;IKBKG|0	0.5916976891198988	10.140313390313391	1.1330127737019247e-5	0.004491545888147855
GO:0044267	cellular protein metabolic process	4630	12	RUNX3|0;ESR1|0;SFN|0;IKBKB|0;IRAK1|0;RPL39|1;RPS18|1;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1;SUV39H2|0	4.227716513310388	2.838411696295066	1.2618730235613995e-5	0.004794020144049663
GO:0019221	cytokine-mediated signaling pathway	661	6	IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0	0.6035681674510079	9.940882113348074	1.2697789370630375e-5	0.004794020144049663
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	53	3	IRAK1|0;MAP3K7|0;IKBKG|0	0.04839502704221395	61.989840348330915	1.3570659424755327e-5	0.005004417360426633
GO:0051704	multi-organism process	2127	9	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;RPL39|1;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.9421928777130013	4.633937289790604	1.4720426499414963e-5	0.005305040977300524
GO:0002223	stimulatory C-type lectin receptor signaling pathway	56	3	IKBKB|0;MAP3K7|0;IKBKG|0	0.051134368195546814	58.668956043956044	1.603277240813661e-5	0.005649592712796049
GO:0002220	innate immune response activating cell surface receptor signaling pathway	58	3	IKBKB|0;MAP3K7|0;IKBKG|0	0.05296059563110205	56.64588859416446	1.7827757993971183e-5	0.006145538228486979
GO:0038095	Fc-epsilon receptor signaling pathway	59	3	IKBKB|0;MAP3K7|0;IKBKG|0	0.053873709348879674	55.68578878748371	1.8772908303765767e-5	0.006333659722825825
GO:0044093	positive regulation of molecular function	1607	8	ESR1|0;IKBKB|0;IRAK1|0;MYD88|0;MAP3K7|0;TRIM25|0;IKBKG|0;SASH1|1	1.4673737444686379	5.451917093485234	1.9758847398687607e-5	0.006527417566687279
GO:0007254	JNK cascade	204	4	IRAK1|0;MAP3K7|0;IKBKG|0;SASH1|1	0.1862751984266348	21.473604826546005	2.6446931013390795e-5	0.008558550715904853
