goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	119	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.2256795673245768	62.03485838779957	0	0
GO:0000956	nuclear-transcribed mRNA catabolic process	196	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.37170752265224416	37.664021164021165	0	0
GO:0006402	mRNA catabolic process	293	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.5556648170260589	25.19504487422576	0	0
GO:0006413	translational initiation	185	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.3508463861768631	39.90350350350351	0	0
GO:0006612	protein targeting to membrane	179	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.3394675844630189	41.2410511069729	0	0
GO:0006613	cotranslational protein targeting to membrane	98	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.18585376132612208	75.32804232804233	0	0
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	94	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.1782678935168926	78.53349093774627	0	0
GO:0045047	protein targeting to ER	106	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.20102549694458102	69.6429070580014	0	0
GO:0070972	protein localization to endoplasmic reticulum	136	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.25791950551380205	54.28050108932462	0	0
GO:0072599	establishment of protein localization to endoplasmic reticulum	110	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.20861136475381048	67.11043771043771	0	0
GO:0090150	establishment of protein localization to membrane	298	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.5651471517875957	24.772309221973654	0	0
GO:0006401	RNA catabolic process	323	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.6125588255952799	22.85494782708405	1.1102230246251565e-16	1.467067208456759e-13
GO:0006605	protein targeting	397	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.7528973800660251	18.594831607426066	1.9984014443252818e-15	2.4375885925127685e-12
GO:0006412	translation	592	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.1227084357659618	13.360548048048049	1.765254609153999e-14	1.999403024096783e-11
GO:0043043	peptide biosynthetic process	614	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.164430708716724	12.881831342743395	3.019806626980426e-14	3.192338245601908e-11
GO:0034655	nucleobase-containing compound catabolic process	520	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.9861628151998314	14.196438746438746	8.204548151979907e-14	7.65291294387914e-11
GO:0072594	establishment of protein localization to organelle	520	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	0.9861628151998314	14.196438746438746	8.204548151979907e-14	7.65291294387914e-11
GO:0046700	heterocycle catabolic process	564	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.0696073611013555	13.088915156291044	2.495781359357352e-13	2.1266606253789179e-10
GO:0044270	cellular nitrogen compound catabolic process	566	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.0734002950059702	13.042664572699909	2.617905892066119e-13	2.1266606253789179e-10
GO:0072657	protein localization to membrane	567	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.0752967619582776	13.019661636945589	2.682298827494378e-13	2.1266606253789179e-10
GO:0019439	aromatic compound catabolic process	578	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.0961578984336586	12.771882609252852	3.4872105203476167e-13	2.6331760581501026e-10
GO:0016071	mRNA metabolic process	732	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.3882138090889935	10.80525197328476	3.934630399271555e-13	2.7126710539673496e-10
GO:0043604	amide biosynthetic process	732	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.3882138090889935	10.80525197328476	3.934630399271555e-13	2.7126710539673496e-10
GO:0006518	peptide metabolic process	744	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.410971412516682	10.630973715651136	4.982680934517703e-13	3.292098815776967e-10
GO:1901361	organic cyclic compound catabolic process	605	14	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.1473625061459576	12.201897765534131	6.499245586155666e-13	4.1223414903868157e-10
GO:0033365	protein localization to organelle	854	15	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;MFHAS1|1;RPL23|1;RPL35|1	1.6195827772704923	9.261644548529794	3.664513137380254e-12	2.2349301853630266e-9
GO:0002181	cytoplasmic translation	91	8	RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS21|1;RPS29|1	0.1725784926599705	46.35571835571836	4.091171845743702e-12	2.4027300725169585e-9
GO:0043603	cellular amide metabolic process	970	15	APP|0;RPL11|1;RPL26|1;RPL31|1;RPL35A|1;RPL39|1;RPL41|1;RPS14|1;RPS15A|1;RPS17|1;RPS18|1;RPS21|1;RPS29|1;RPL23|1;RPL35|1	1.839572943738147	8.154066437571593	2.2799984122912065e-11	1.291211957989345e-8
